"CLIENTNUM","STATUS","CUSTOMER_AGE","GENDER","DEPENDENT_COUNT","EDUCATION_LEVEL","MARITAL_STATUS","INCOME_CATEGORY","CARD_CATEGORY","MONTHS_ON_BOOK","TOTAL_RELATIONSHIP_COUNT","MONTHS_INACTIVE_12_MON","CONTACTS_COUNT_12_MON","CREDIT_LIMIT","TOTAL_REVOLVING_BAL","AVG_OPEN_TO_BUY","TOTAL_TRANS_AMT","TOTAL_TRANS_CT","AVG_UTILIZATION_RATIO"
708082083,Existing Customer,45,F,3,High School,Married,Less than $40K,Blue,36,4,3,3,3544,1661,1883,15149,111,0.469
708083283,Attrited Customer,58,M,0,Unknown,Single,$40K - $60K,Blue,45,3,1,3,3421,2517,904,992,21,0.736
708084558,Attrited Customer,46,M,3,Doctorate,Divorced,$80K - $120K,Blue,38,6,3,3,8258,1771,6487,1447,23,0.214
708085458,Existing Customer,34,F,2,Uneducated,Single,Less than $40K,Blue,24,6,2,2,1438,0,1438,3940,82,0.0
708086958,Existing Customer,49,F,2,Uneducated,Married,Unknown,Blue,41,3,5,2,3128,749,2379,4369,59,0.239
708095133,Existing Customer,43,M,4,Unknown,Unknown,$120K +,Blue,34,5,2,2,33304,1833,31471,1448,29,0.055
708098133,Existing Customer,32,F,0,Graduate,Married,Less than $40K,Blue,19,6,1,0,2834,1418,1416,1598,39,0.5
708099183,Existing Customer,37,F,2,High School,Single,Less than $40K,Blue,36,4,2,2,5723,1873,3850,2732,63,0.327
708100533,Existing Customer,55,F,3,College,Single,Less than $40K,Blue,36,3,3,3,2679,2277,402,4943,85,0.85
708103608,Existing Customer,52,M,1,High School,Single,$60K - $80K,Blue,45,1,5,1,11898,2517,9381,15798,128,0.212
708104658,Existing Customer,46,M,1,Graduate,Unknown,$40K - $60K,Blue,36,4,3,2,1438,890,548,2928,48,0.619
708108333,Attrited Customer,47,F,3,Graduate,Married,Unknown,Blue,36,3,3,1,5590,0,5590,1507,32,0.0
708112008,Existing Customer,56,M,2,Graduate,Married,$80K - $120K,Blue,36,4,2,3,23510,1049,22461,1661,35,0.045
708113208,Existing Customer,53,F,1,High School,Married,Less than $40K,Blue,36,3,2,2,1688,0,1688,4375,69,0.0
708117933,Attrited Customer,44,F,2,Graduate,Divorced,Less than $40K,Blue,36,3,2,3,1880,0,1880,2469,34,0.0
708119658,Existing Customer,49,F,4,Graduate,Married,$40K - $60K,Blue,38,4,2,1,12836,1034,11802,2519,53,0.081
708121908,Attrited Customer,48,M,4,Unknown,Married,$80K - $120K,Blue,36,2,3,2,22917,0,22917,2045,45,0.0
708123033,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Silver,30,2,1,1,11463,0,11463,14511,105,0.0
708125733,Existing Customer,46,F,2,College,Divorced,Less than $40K,Blue,36,4,3,1,1438,0,1438,4311,77,0.0
708128733,Existing Customer,50,F,3,Post-Graduate,Single,Unknown,Blue,36,5,4,3,1814,0,1814,5014,99,0.0
708129933,Existing Customer,45,F,4,Graduate,Single,Less than $40K,Blue,36,5,3,2,2072,1544,528,4210,64,0.745
708132783,Existing Customer,47,F,3,Uneducated,Single,Unknown,Blue,42,6,2,2,16411,1179,15232,3929,71,0.072
708134283,Existing Customer,35,M,2,Uneducated,Married,Less than $40K,Blue,36,4,3,3,3131,629,2502,1483,31,0.201
708136908,Existing Customer,62,F,0,Graduate,Single,Less than $40K,Blue,53,5,2,2,2616,801,1815,4655,68,0.306
